연도,공항,노선(D:국내선/ I:국제선),운항정기여객기도착,운항정기여객기출발,운항정기여객기계,운항정기화물기도착,운항정기화물기출발,운항정기화물기계,운항정기도착,운항정기출발,운항정기계,운항부정기여객기도착,운항부정기여객기출발,운항부정기여객기계,운항부정기화물기도착,운항부정기화물기출발,운항부정기화물기계,운항부정기도착,운항부정기출발,운항부정기계,운항여객기도착,운항여객기출발,운항여객기계,운항화물기도착,운항화물기출발,운항화물기계,운항도착,운항출발
2016,CJJ,D,6380,6358,12738,0,0,0,6380,6358,12738,147,124,271,0,0,0,147,124,271,6527,6482,13009,0,0,0,6527,6482
2016,CJJ,I,1657,1648,3305,0,0,0,1657,1648,3305,547,557,1104,0,0,0,547,557,1104,2204,2205,4409,0,0,0,2204,2205
2016,CJU,D,75804,75323,151127,0,0,0,75804,75323,151127,927,1517,2444,0,0,0,927,1517,2444,76731,76840,153571,0,0,0,76731,76840
2016,CJU,I,9106,9144,18250,0,0,0,9106,9144,18250,473,438,911,6,5,11,479,443,922,9579,9582,19161,6,5,11,9585,9587
2016,GMP,D,61828,62349,124177,0,0,0,61828,62349,124177,871,706,1577,0,0,0,871,706,1577,62699,63055,125754,0,0,0,62699,63055
2016,GMP,I,10227,10224,20451,0,0,0,10227,10224,20451,42,19,61,0,0,0,42,19,61,10269,10243,20512,0,0,0,10269,10243
2016,HIN,D,911,911,1822,0,0,0,911,911,1822,0,0,0,0,0,0,0,0,0,911,911,1822,0,0,0,911,911
2016,KPO,D,451,451,902,0,0,0,451,451,902,4,4,8,0,0,0,4,4,8,455,455,910,0,0,0,455,455
2016,KPO,I,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,3,3,6,0,0,0,3,3
2016,KUV,D,714,712,1426,0,0,0,714,712,1426,0,1,1,0,0,0,0,1,1,714,713,1427,0,0,0,714,713
2016,KWJ,D,5385,5384,10769,0,0,0,5385,5384,10769,13,10,23,0,0,0,13,10,23,5398,5394,10792,0,0,0,5398,5394
2016,MWX,D,353,362,715,0,0,0,353,362,715,11,3,14,0,0,0,11,3,14,364,365,729,0,0,0,364,365
2016,MWX,I,421,420,841,0,0,0,421,420,841,379,381,760,0,0,0,379,381,760,800,801,1601,0,0,0,800,801
2016,PUS,D,22979,22965,45944,0,0,0,22979,22965,45944,171,161,332,0,0,0,171,161,332,23150,23126,46276,0,0,0,23150,23126
2016,PUS,I,25950,25996,51946,0,0,0,25950,25996,51946,572,564,1136,0,0,0,572,564,1136,26522,26560,53082,0,0,0,26522,26560
2016,RSU,D,2402,2401,4803,0,0,0,2402,2401,4803,5,5,10,0,0,0,5,5,10,2407,2406,4813,0,0,0,2407,2406
2016,TAE,D,5926,5916,11842,0,0,0,5926,5916,11842,148,151,299,0,0,0,148,151,299,6074,6067,12141,0,0,0,6074,6067
2016,TAE,I,1827,1832,3659,0,0,0,1827,1832,3659,651,638,1289,0,0,0,651,638,1289,2478,2470,4948,0,0,0,2478,2470
2016,USN,D,2444,2445,4889,0,0,0,2444,2445,4889,1,1,2,0,0,0,1,1,2,2445,2446,4891,0,0,0,2445,2446
2016,WJU,D,350,349,699,0,0,0,350,349,699,0,0,0,0,0,0,0,0,0,350,349,699,0,0,0,350,349
2016,YNY,D,1,1,2,0,0,0,1,1,2,9,4,13,0,0,0,9,4,13,10,5,15,0,0,0,10,5
2016,YNY,I,49,49,98,0,0,0,49,49,98,251,257,508,0,0,0,251,257,508,300,306,606,0,0,0,300,306
